Month,Positivity,TotalCases,NewCases,LocalTransmission,ReturningResidents,ROFW,Deaths,APOR,LDOrder,Increaseincases,IncreaseinPositivityRate
2021-05-02,8.5,40,6,0,3,1,0,0,1,0,0
2021-05-09,12.3,22,10,12,1,0,0,0,1,-0.18,0.038
2021-05-16,13.8,49,4,45,0,0,0,0,2,0.27,0.015
2021-05-23,11.6,51,0,41,0,3,0,2,2,0.02,-0.022
2021-05-30,17.7,101,0,67,0,0,0,0,2,0.5,0.061
2021-06-06,17.7,107,0,89,0,0,0,0,2,0.06,0
2021-06-13,17.4,79,0,60,0,0,0,0,2,-0.28,-0.003
2021-06-20,19.5,27,13,14,0,0,0,0,2,-0.52,0.021
2021-06-27,20.1,74,16,57,0,0,1,0,2,0.47,0.006
2021-07-04,21.4,58,29,0,1,3,1,0,2,-0.16,0.013
2021-07-11,18,72,16,55,2,0,0,4,2,0.14,-0.034
2021-07-18,21.5,63,12,51,0,0,0,0,2,-0.09,0.035
2021-07-25,17.3,44,15,29,0,0,0,0,2,-0.19,-0.042
2021-08-01,20.3,48,17,31,1,1,0,0,2,0.04,0.03
2021-08-08,19,68,13,55,2,0,0,1,2,0.2,-0.013
2021-08-15,20.8,86,12,74,0,0,1,0,2,0.18,0.018
2021-08-22,24.7,84,12,71,2,0,1,0,2,-0.02,0.039
2021-08-29,26.3,99,514,83,0,0,3,1,0,0.15,0.016
2021-09-05,25.9,105,12,0,0,2,1,1,0,0.06,-0.004
2021-09-12,25.2,171,25,0,0,0,2,0,3,0.66,-0.007
2021-09-19,21.2,106,9,0,6,0,2,1,3,-0.65,-0.04
2021-09-26,18.4,72,9,63,0,0,0,0,3,-0.34,-0.028
2021-10-03,15.3,39,6,33,0,1,0,0,3,-0.33,-0.031
2021-10-10,10.8,28,7,0,2,1,0,2,3,-0.11,-0.045
2021-10-17,9.8,20,3,16,1,0,2,0,3,-0.08,-0.01
2021-10-24,7.3,15,6,0,0,0,0,0,3,-0.05,-0.025
2021-10-31,5.1,9,2,6,0,0,1,0,3,-0.06,-0.022
2021-11-07,4.1,6,1,5,0,0,0,0,3,-0.03,-0.01
2021-11-14,3.1,4,1,3,0,0,0,0,3,-0.02,-0.01
2021-11-21,2.5,4,1,3,0,0,0,0,2,0,-0.006
2021-11-28,2.5,2,0,2,0,0,0,0,2,-0.02,0
2021-12-05,1.3,0,0,0,0,0,0,0,2,-0.02,-0.012
2021-12-12,1.3,3,0,2,0,0,0,0,2,0.03,0
2021-12-19,0.7,0,0,0,0,0,0,0,2,-0.03,-0.006
2021-12-26,1,2,2,0,0,0,0,0,2,0.02,0.003
2022-01-02,8.9,3,0,3,1,0,0,0,2,0.01,0.079
2022-01-09,24.2,28,20,0,2,0,0,0,2,0.25,0.153
2022-01-16,46.4,177,62,115,0,4,0,4,3,1.49,0.222
2022-01-23,43.8,351,104,246,0,0,1,0,3,1.74,-0.026
2022-01-30,34.7,158,35,123,1,4,0,4,3,-1.93,-0.091
2022-02-06,24.2,61,21,40,0,3,0,0,3,-0.97,-0.105
2022-02-13,19.7,15,9,6,0,0,1,0,3,-0.46,-0.045
2022-02-20,14.5,8,5,3,0,0,1,0,3,-0.07,-0.052
2022-02-27,9.2,3,2,1,0,0,0,0,3,-0.05,-0.053
2022-03-06,6,8,5,2,0,0,1,0,2,0.05,-0.032